production_companies,revenue,cantidad_peliculas
Cine Location Services,403486.1666666667,6
Cine Mobil,9547372.833333334,6
Cine Mosaic,129883.75,15
Cine Productions,520345.94444444444,18
Cine TV Film Production,14.0,2
Cine-Neighbor,2121613.0,6
CinePostproduction,9857190.88888889,26
CineSon Entertainment,1334142.4,15
Cinealpha KG,43579.5,4
Cineblue Internationale Filmproduktionsgesellschaft,3001598.2,5
Cineclick Asia,23051319.89285714,17
Cinecom Pictures,69259.4,5
Cinedigm,368494.0808080808,45
Cinegate,309818.05555555556,21
Cinelou Films,2586760.3333333335,11
CinemArt,641139.3333333334,31
Cinema 77,12000000.0,11
Cinema 77 Films,15949500.0,2
Cinema 84,20419906.666666668,8
Cinema Center Films,15779776.0,39
Cinema City Company Limited,4469460.0,1
Cinema Four,493291.85714285716,15
Cinema Group,2333333.3333333335,7
Cinema Group Ventures,55975595.0,13
Cinema Gypsy Productions,3789685.0,12
Cinema Investment,1526536.8461538462,13
Cinema Line Film Corporation,22814294.5,6
Cinema One,492.2307692307692,13
Cinema Plus,5039249.8,16
Cinema Service,15154513.0,28
Cinema Vehicle Services,14426082.5,12
Cinema Verity,1727199.25,8
Cinema West Films,0.3333333333333333,3
CinemaNX,1705872.8571428573,37
CinemaScópio Produções,95310.0,3
Cinemaker Oy,5666666.666666667,3
Cinemalaya Foundation,11553.0,8
Cinemarque Entertainment,3576914.75,6
Cinemarque Entertainment BV,3641006.75,4
Cinemasia,808333.3333333334,6
Cinematic,292400.75,4
Cinematograph A/S,1539687.6538461538,26
Cinematograph AB,4507835.0,21
Cineplex-Odeon Films,14330939.833333334,21
Cinerama Releasing Corporation,407333.0,2
Cinereach,7035915.333333333,11
Cinerenta Medienbeteiligungs KG,28077191.5,48
Cinerenta-Cinebeta,11843557.8,5
Cinergi Pictures Entertainment,381652563.0,37
Cineric,2002684.8,5
Cineritmo,5250390.75,4
Cineroma SRL,25339215.363636363,11
Cinesoul,928909.1428571428,7
Cinetel Films,3147662.3333333335,80
Cineville,1345236.0,17
Cinevisión,297473.5,2
Cinevista,10832734.0,2
Cinevox Filmproduktion GmbH,4070916.75,10
Cinezeta,8469584.666666666,6
Ciné+,197613129.4332436,770
Ciné-Sud Promotion,23845.0,17
Ciné@,50912.544444444444,51
CinéCinéma,103582717.8180765,615
Cinéa,945190.75,25
Cinéart,1430563.625,23
Cinéforom,9727.923076923076,13
Cinéfrance 1888,3602602.35,45
Cinémage 10,31295.140909090907,46
Cinémage 4,6904011.166666667,68
Cinémage 5,15508.23076923077,41
Cinémage 9,61169.96017316017,91
Cinémaginaire Inc.,421371.3333333333,20
Cinétudes Films,650560.5,2
Cinétéléfilms,23845.0,15
Cipher Films,55000.0,5
Circle Films,19181657.5,16
Circle of Confusion,4102501.9238095237,30
City Film,12561175.0,11
City Films,11858530.666666666,9
City Light Films,160604781.16666666,10
City Lights Pictures,103435.5,2
City Productions,3001598.2,5
City of Lodz,1699817.2222222222,9
City on a Hill Productions,1009620.0,1
CityMation,16261875.0,6
Ciudad Lunar Producciones,188572.14285714287,26
Clap Filmes,5176692.333333333,11
Claraflora,1359918.0,6
Clarius Entertainment,2574525.6666666665,6
Class 5 Films,1549998.6666666665,21
Classic Media,14881651.666666666,6
Classic Media Productions,68228107.5,4
Classico,56280000.0,3
Claudie Ossard Productions,19407452.555555556,30
Claussen Wöbke Putz Filmproduktion,397226.0,11
Clavius Base,11528472.0,3
Clear Blue Sky Productions,29027914.0,6
Clearwater Holdings Limited,14000000.0,3
Cliffhanger Productions,42500035.166666664,6
Cliffjack Motion Pictures,19251170.0,2
Clifford Werber Productions,22057002.25,7
Clinica Estetico,166144984.83333334,37
Clipsal Films,21480688.666666668,13
Clockwork Pictures,1540768.705882353,23
Close Call Films,9024595.5,7
Closed on Mondays Entertainment,18001589.0,5
Closest to the Hole Productions,85920028.69696969,47
Cloud Atlas Productions,16310358.5,8
Cloud Eight Films,37164392.754761904,28
Cloud Nine Movies,9333333.333333334,5
Cloudy Productions,103587886.5,4
Club d'Investissement Média,82791.0,24
Clubdeal,7267301.857142857,22
Clubhouse Pictures,849915.0,1
Clyde Is Hungry Films,7550524.5,9
CoBo Fund,1540768.705882353,17
CoMix Wave Films,355298270.0,2
Coast Ridge,18000000.0,6
Coatwolf Productions,101236.0,1
Cobalt Media Group,38391072.18333333,20
Cobblestone Pictures,0.3333333333333333,3
Cobra Film Department,75000.0,4
Coco,374352.5,16
Coconut Pete Productions,1667218.3333333333,3
Code Entertainment,8357337.5,29
Code Productions,2400000.0,1
Code Red Productions,4491549.444444444,9
Codi S.p.a.,199548.33333333334,3
Coficup,417731.3333333333,62
Cofimage 2,138000.0,1
Cofimage 23,14786.285714285714,14
Cofimage 25,2145.2727272727275,11
Cofimage 27,9727.923076923076,13
Cofimage 4,82791.0,21
Cofimage 5,82791.0,31
Cofimage 9,44709.0,6
Cofinova 10,22288.12987012987,49
Cofinova 11,16559.466666666667,60
Cofinova 12,31295.140909090907,31
Cofinova 4,27689.1,25
Cofinova 6,6904011.166666667,30
Cohen Media Group,2509077.3333333335,16
Cohen/Pearl Productions,10827803.333333334,3
Cold Iron Pictures,2701167.5,12
Cold Spring Pictures,58839327.76428571,29
Coldstream Films,2000000.0,3
Colgems Productions Ltd.,1926117.6666666667,3
Collision Entertainment,14236150.833333334,9
Colombia Pictures,39000543.4,8
Colomby/Keaton Productions,119947.0,2
Color Force,1467419652.9166667,20
Colorado Film Production,17171134.0,31
Colorado Office of Film,136931760.0,11
Colossal Entertainment,1440476.3333333333,6
Colossal Pictures,8717333.5,6
Colour Yellow Pictures,9000000.0,2
Columbia Films,228581.5,6
Columbia Pictures,12317141566.969193,1057
Columbia Pictures Corporation,4540413655.785714,866
Columbia Pictures Film Production Asia,73992188.0,19
Columbia Pictures Industries,85300000.0,3
Columbia TriStar,13930471.333333334,14
Columbia TriStar Filmes do Brasil,690268.6666666666,7
Columbus 81 Productions,95864859.0,3
Columbus Circle Films,8546226.5,2
Comedy Central,4393378.0,45
Comedy Central Films,2906023.0,20
Comet Film Produktion GmbH,0.3333333333333333,16
Cometstone Pictures,13285231.5,2
Cominco,547275.0,3
Commission du Film France,10079056.666666666,6
Commission du Film Île-de-France,10079056.666666666,6
Compact Yellowbill,56066.0,2
Compagnia Cinematografica Champion,19975421.666666668,66
Compagnie Industrielle et Commerciale Cinématographique (CICC),39481.0,32
Company Films,43819765.62857143,16
Company of Wolves,809383.0,6
Compass Entertainment,6445.25,4
Compass International Pictures,35000000.0,6
Compañía Iberoamericana de TV,78002.5,17
Comptom Investments,13.142857142857142,7
Compulsion Inc.,34585954.166666664,6
Comune di Castellabate,13116935.8,5
Concord Productions Inc.,65000000.0,9
Concorde Pictures,858591.0,11
Condemned Productions,1440476.3333333333,6
Conquest Productions,1400000.0,5
Conquistador Entertainment,15276.4,5
Conseil Général de l'Eure,242802.875,8
Conseil Général des Côtes d'Armor,1212900.375,16
Conseil Général du Morbihan,1212900.375,16
Conseil Régional de Franche-Comté,1444077.142857143,19
Conseil Régional de Haute Normandie,242802.875,8
Conseil Régional du Calvados,1212900.375,16
Consejo Nacional para la Cultura y las Artes (CONACULTA),1197500.0,44
Considered Entertainment,388534.2,10
Conspiração Filmes,690268.6666666666,24
Constance Media,18729.5,7
Constant c Productions,126892881.0,8
Constantin Film,204578315.16666666,72
Constantin Film International,23566326.2,5
Constantin Film Ltd.,64697417.5,2
Constantin Film Produktion,404800093.44269896,198
Constantin Film.,23996799.42857143,13
Constellation,307064.375,33
Constellation Entertainment,22958384.5,12
Constellation Films,37500000.0,2
Constellation Productions,82791.0,21
Construction Film,142169.05357142858,20
Contagious Entertainment,17383003.4,5
Contemporary Films,202028.5,4
ContentFilm,2516961.0,40
ContentFilm International,1540768.705882353,44
Continental Entertainment Group (CEG),6505222.833333333,6
Continental Film Group Ltd.,15907.5,2
Continental Producciones,13309.272727272728,14
Contrafilm,230253149.6952381,37
Conundrum Entertainment,212063244.1666667,20
Cooga Mooga,3333333.3333333335,3
Cookout Productions,12.0,1
Coolmore Productions,565764.6666666666,3
Coop99 Filmproduktion,154463.55555555556,15
Cooper's Town Productions,7203277.238095239,14
Copa del Oro,750000.0,6
Copag V,4021315.8333333335,6
Copenhagen Film Fund,6419152.3,14
Coproducción España-Argentina-Francia,2019776.8333333333,6
Coproduction Office,1897171.6666666667,22
Coral Productions,1450698.0,3
Corazón International,10774874.833333334,54
Corduroy Films,13264051.0,16
Core Productions,12368044.5,6
Corn Cobb Productions,2326995.3333333335,3
Cornelius Productions,2871606.6,5
Corner Store Entertainment,14902521.5,17
Corner Work,3773881.0,2
Cornice Entertainment,123798.66666666667,3
Corona-General,17755666.666666668,3
Corrino Media Corporation,1909404.3333333333,4
Corrupter Production Service Ltd.,843423.0,5
Corsan,2113730.25,23
Cort/Madden Productions,46841994.0,7
Corus,10132935.444444444,36
Corus Entertainment,7650131.957264957,65
Corvid Pictures,10525.333333333334,3
Cosmic Pictures,1539578.3333333333,7
Cosmo-Films,2270753.6666666665,11
Cota Film,283215.0,7
Cote Blanche Productions,1.0,1
Cott Productions,60591195.33333333,15
Cottage Industries,2366605.714285714,7
Cougar Films Ltd.,272870.1111111111,9
Count of Monte Cristo Ltd.,18848762.0,4
Country Music Television (CMT),50355.0,7
Coup d'Etat Films,214519.0,6
Court 13 Pictures,7035915.333333333,6
Court Five,610772.3333333334,12
Courtside Seats Productions,83400000.0,3
Covert Media,15678838.0,9
Cowboy Films,6394015.916666667,27
Cowtown Cinema Ventures,98947.16666666667,6
Crab Apple Films,270974.5,6
Cracking the Earth Films,528972.0,1
Cranium Films,8751795.0,4
Crave Films,45679885.64761905,18
Craven-Maddalena Films,102901376.83333333,19
Creado Film,17500000.0,4
Creando Films,5827847.75,4
Creative England,1095890.0666666667,27
Creative Scotland,9853341.3,43
Creative Visions Productions,703012.2,5
Creativos Asociados de Radio y Televisión (CARTEL),1259047.0,8
Creatures,34012397.45454545,18
Creavidi,6750000.0,2
Credit Lyonnais,242802.875,8
Creepshow Films Inc.,7009585.0,3
Crescendo Productions,23251457.60714286,22
Crescent Film Enterprises,1980163.5,2
Crest Animation Productions,13133400.666666666,10
Crew Neck Productions,196985.0,2
Crimes of the Heart S.A,7635174.0,3
Criminal Productions,2451449.3333333335,6
Crimson Bolt,108046.0,3
Cristaldifilm,19300000.0,4
Cronos Entertainment AIE,492.2307692307692,13
Cross Country,375000.0,4
Cross Creek Pictures,235287407.25,71
Crossbow Productions,96849852.25,13
Crossroads,33333333.333333332,3
Crossroads Entertainment (II),292959.6666666667,9
Crossroads Films,1440010.6666666665,4
Crown International Pictures,37101888.0,24
Crowvision Inc.,18800000.0,5
Crucial Films,33605831.833333336,6
Cruel & Unusual Films,262769143.80952382,13
Cruel Productions,25300736.0,3
Cruel and Unusual Films,358019608.8,44
Cruella Productions,91805885.5,2
Cruise-Wagner Productions,67796113.66666667,3
Cruise/Wagner Productions,802966035.152381,68
Crusader Entertainment,374352.5,22
Crying Box Productions,17092358.5,4
Crystal City Entertainment,15198612.2,10
Crystal Lake Entertainment,22066146.476190478,12
Crystal Sky Pictures,57695582.61904762,28
Crystal Sky Worldwide,20118163.111111112,20
Cuatro Plus Films,26073.5,14
Cub Eight Productions,9537315.0,6
Cube Libre,71688.28571428571,7
Cube Vision,193104169.75,30
Cubicle Inc.,6413906.5,2
Cunningham & Maybach Films,884611.5,9
Cupid Productions,36133153.0,3
Curb Entertainment,22000.0,7
Curmudgeon Films,31904958.333333332,14
Current Entertainment,54442699.16468254,60
Curse Productions,18162178.4,5
Curzon Film Distributors,6988881.333333333,8
Cutting Edge Films,20864816.6,5
Cyclops Vision,3333333.3333333335,5
Cyrkfilms,799044.3333333334,9
Czar Pictures,427725.0,2
Czech Anglo Productions,6990825.0,12
D & P Productions,1645711.0,1
D'Antoni Productions,13719585.666666666,3
D'Artagnan Productions Limited,3005979.4444444445,9
D.A. Films,229278.5,22
D.N. Dream Partners,54515.88888888889,12
D8,17224207.25,4
DC Comics,835568020.0916667,209
DC Entertainment,1225731716.4142857,127
DCG Plus,12250000.0,5
DCP Wrong Turn Productions,4092939.285714286,7
DDM Film Corporation,773698.5,2
DDP Studios,28817.0,7
DEJ Productions,12337259.625,19
DENTSU Music And Entertainment,41036004.166666664,35
DFI,5500000.0,5
DJ Films,17670679.375,24
DMC Film,21881623.272727273,11
DMC Films,2146103.1333333333,11
DMG Entertainment,71912297.25,23
DMK Mediafonds International,2686380.0,3
DMM.com,455448.875,8
DNA Films,177574962.06666666,65
DNA Productions,13795282.25,4
DOS,12122033.75,8
DPI,3719820.4,18
DR TV,3617.5,4
DRO Entertainment,47868.25,8
DW Studios,23381428.57142857,7
Da Ma Produzione,10283148.833333332,15
Da Vinci Media Ventures,11090660.666666668,22
Dago García Producciones,188572.14285714287,7
Daiei Motion Picture Company,96568.0,32
Daiei Studios,99000.0,65
Dalian Wanda Group,410988.2,5
Dallas & Rusty LLC,6309.333333333333,3
Daly-Harris Productions,359908.6666666667,3
Dan Curtis Productions,30690893.625,17
Dan Films,1215664.6666666667,30
Danger Filmworks,344.0,1
Dangerous Method Film AG,4577006.833333333,6
Dangerous to Know Swell Co.,42417.0,3
Dania Film,2148753.4,66
Daniel Bobker Productions,15329136.333333334,11
Daniel Fried Productions,4004350.75,4
Danish Film Institute,3601466.222222222,12
Danish Filminstitute,181600.0,5
Danjaq,575745661.6666667,26
Danmarks Radio (DR),6769264.8101744745,215
Danny the Dog Prods Ltd.,7267301.857142857,7
Dante Entertainment,3695024.6666666665,29
Darius Films,38656.104166666664,30
Dark Arts Film,33638.0,4
Dark Castle Entertainment,173412700.91388887,113
Dark Harbor Stories,40000.0,3
Dark Horse Entertainment,352779075.66190475,60
Dark Lot Entertainment,6505222.833333333,6
Dark Sky Films,65500.0,18
Dark Trick Films,4788120.0,4
Darko Entertainment,13508147.166666666,32
Darkside Movie,5441524.333333333,3
Darkwoods Productions,132969717.16666667,12
Darlow Smithson Productions,3471450.5,15
Darren Star Productions,138417595.33333334,3
Darryl F. Zanuck Productions,25050000.0,13
Daryl Prince Productions,26073.5,8
Das Films,888706.0,14
Dasepo Club,12250000.0,8
Dash Films,2339202.5,7
Dasym Enetertainment,9750000.0,6
David Brown Productions,311603385.8333333,10
David Dobkin Productions,59254316.583333336,7
David Foster Productions,66566378.083333336,31
David Hamilton Productions,2605596.75,4
David Hannay Productions,403486.1666666667,13
David Kirschner Productions,17810573.0,12
David L. Wolper Productions,2000000.0,4
David Ladd Films,16787842.5,6
David Merrick Productions,8328062.5,2
David Sonenberg Production,888706.0,3
Davis Entertainment,1217181062.8088744,179
Davis Entertainment Classics,368297.6666666667,7
Davis Films,92440149.28571428,25
Davis-Films,561517744.602381,92
Davis-Panzer Productions,14115202.5,8
Dawliz,65377203.85714286,7
Dawn Associates,27500000.0,2
Day Twenty- Eight Films,679955.0,2
Daybreak,7602795.75,4
Daybreak Pictures,4443801.5,4
Daybreak Productions,24112545.196969695,17
Dayday Films,100103657.11363636,28
De Fina-Cappa,29028093.75,8
De Haven Productions,14303762.0,5
De Laurentiis,7635174.0,10
De Laurentiis Entertainment Group,9933333.333333334,4
De Laurentiis Entertainment Group (DEG),106932227.58333334,39
De Line Pictures,466387427.56666666,32
De Milo,48832590.333333336,3
De Negris Productions,302485.3333333333,3
De Wolfe Music,3754924.0,8
DeBart,25972852.25,4
Dead Crow Productions,6047613.571428572,7
Dead Films,11333333.333333334,3
Dear Film Produzione,3000000.0,20
Death Wish 5 Productions,851197.0,2
Debra Hill Productions,33887835.58333333,9
Decia Films,151400.57142857142,7
Decibel Films,12967510.416666668,10
Decoding Annie Parker,12097.5,4
Dee Gee Entertainment,15788088.166666666,6
Deep Films,611577.5,6
Deep River Productions,31307839.083333336,19
Deer Path Films,5092232.333333333,6
Deer Path Productions,455479.2,5
Deerjen Films,3688.0,7
Def Pictures,6980101.5,2
Defender Films,1111000.0,6
Defiance Productions,8525869.833333334,6
DefyNite Films,17752332.2,5
Degeto Film,13200840.38095238,111
Deiz Production,1765218.8,9
Deliverance Productions,27392297.0,6
Delphi Films,164116008.33333334,14
Delphi II Productions,15908539.666666668,15
Delphi III Productions,20424213.0,13
Delphi IV Productions,8328028.333333333,9
Delphi Medien,49105.0,3
Delphi Productions,5500000.0,3
Delphi V Productions,93790450.5,20
Delux Productions,11625527.5,41
Deluxe Digital Studios,230660899.0,5
Demarest Films,14947663.420238094,71
Demarest Media,29217059.0,6
Demi-Monde Productions,799674.0,1
Dentsu,1200700897.8150795,211
Dentsu Inc.,87980102.96825397,42
Dentsu Productions Ltd.,1765218.8,5
Denver and Delilah Productions,25725169.833333332,24
Departure Entertainment,17615.3,13
Departure Studios,17615.3,13
Depth Entertainment,14236150.833333334,6
Depth of Field,108989828.15,30
Desert Flower,3657844.25,4
Desert Flower Filmproductions,3657844.25,4
Desert Hearts Productions,1200000.0,2
Desert Wolf Productions,1420405.5,4
Desertlands Entertainment,11926948.6,10
Desperate Pictures,597707.8333333333,24
Destination Films,23824360.96666667,101
Destro Films,22068.25,18
Det Danske Filminstitut,16549317.33377193,218
Detailfilm,212127.5194805195,25
Detour Film Production,8098574.166666667,5
Detour Filmproduction,67122015.8,32
Deuce Three Productions,30085075.23333333,17
Deutsche Filmförderfonds (DFFF),57795030.625,124
Deutscher Filmförderfonds (DFFF),7451586.363636363,39
Deux Chevaux Films,2509077.3333333335,3
Devil's Harvest Production,185747.0,3
Dharamsala,2615.1041666666665,23
Dharma Productions,124826394.33333333,19
Dharma Productions Dillywood,13200241.0,1
Di Bonaventura Picture,23110594.5,2
Di Bonaventura Pictures,1218287550.363889,126
DiNovi Pictures,165829358.66904762,73
Diamond Docs,896717.9,10
Diamond Films,23562781.9,10
Diana Productions,982795.3333333334,5
Diaphana Films,4098478.2916666665,112
Dickhouse Productions,66681090.333333336,11
Dieter Geissler Filmproduktion,7430718.083333334,38
Digging to China LLC,8389.0,4
Digic Pictures,89993.33333333333,3
Digit Anima,103324.33333333333,3
Digital Domain,20922865.166666668,6
Digital Frontier,1302048.625,24
Digital Graphics,95280.22222222222,9
Digital Image Associates,147676820.95238096,15
Diligence Films,9727.923076923076,13
Dillinger Productions,346693.0,7
Dillywood,8982852.5,10
Dimension Films,1853604743.025,260
Dimension Films (US version),28282868.666666664,6
Dinamo Entertainment,50.0,8
Dino De Laurentiis Company,356992586.0238095,85
Dino de Laurentiis Cinematografica,27586494.5,90
Diproci,384557.0,7
Direction de la Cinematographie Nationale,23848.5,19
Directv,360000.0,8
Dirty Hands Productions,7791119.6,9
Disarming Films,201275.0,7
Discovery Channel Pictures,6587884.5,9
Discovery Films,591595.6,9
Discovery Studios,6445.666666666667,3
Disney,40191645.0,4
Disney Channel,7000000.0,57
Disney Double Dare You (DDY),101900726.5,4
Disney Toon Studio,22230425.0,2
DisneyToon Studios,113983983.15,53
Disneynature,68234866.33333334,12
Dispictures,4369.75,4
Disruption Entertainment,264530399.46666667,19
Distant Horizon,225508.33333333334,5
Distant Horizons,5466000.0,47
Distant Planet Productions,7998188.714285715,7
Distressed Films,2270753.6666666665,6
District 9,21081961.1,10
Division Films,4162536.9,25
Django Film,1124738.2,20
DoRo Fiction Film,2100223.888888889,9
Dodi Fayed - Jack Wiener,10301857.5,4
Dog Eat Dog Films,8673847.666666666,16
Dog Eat Dog Productions Inc.,4887002.333333333,3
Dog Run Pictures,554173.0,6
Dogfish Pictures,106428.33333333333,5
Dogwood Films,283003.0,2
Doha Film Institute,4394400.5,81
Dollface,4189290.75,4
Dolly Hall Productions,722822.0,6
Dolphin Entertainment,2090801.0,3
Dom Film GmbH,292802.0,2
Dominion Productions,39000293.0,2
Domino 17521,4588900.4,5
Don Bluth,35684.0,2
Don Bluth Productions,11345139.75,8
Don Carmody Productions,61406843.2,34
Don Simpson/Jerry Bruckheimer Films,698266506.3333333,18
Donner/Shuler-Donner Productions,199150041.66666666,31
Donners' Company,763609743.1395022,100
Doom Buggy Productions,60763422.0,3
Doom Productions,7998188.714285715,7
Doordarshan,297149.4285714286,7
Doosabu Film,3767216.3333333335,3
Dor Film Produktionsgesellschaft GmbH,1613.4285714285713,71
Dor Film-West Produktionsgesellschaft,185540.8,7
Dorje Film,1978285.0,42
Dorset Productions,142956.0,3
Dos Corazones,9622846.0,1
Dot Dot Dot Productions,15452.5,8
Double Feature Films,222247760.26666668,67
Double Negative,146048771.39999998,15
Double Nickel Entertainment,40675229.14285714,18
Double Play,3536440.3333333335,6
Douglas,5039249.8,9
Douglas Fairbanks Pictures,1213880.0,6
Douglas/Reuther Productions,40946024.333333336,6
Dovemead Films,188842449.33333334,9
Down Home Entertainment,5092232.333333333,9
Down Productions,138887687.28571427,23
Dozen Canada Productions,43060610.0,3
Dr D Studios,37601616.5,4
Drafthouse Films,1080720.3333333333,17
Dragon Pictures,23013.75,20
Dragonfly Entertainment,2438263.833333333,15
Dream Factory Group,1884109.2,5
DreamWorks,395046188.29761904,25
DreamWorks Animation,8895349923.75,87
DreamWorks Pictures,242658182.25,52
DreamWorks SKG,4369599030.606458,355
DreamWorks Studios,12697260.142857144,7
Dreamachine,444569.0,19
Dreamagine Entertainment,47868.25,8
Dreambridge Films,940721.15,28
Dreamland Productions,6000000.0,1
Dreams of Dragon Picture,16310358.5,8
Dreamworks Pictures,51775097.5,6
Dreamz Unlimited,19000000.0,3
Dribble Productions,2333333.3333333335,3
Dubai Entertainment and Media Organization,336936.75,4
Due West,799044.3333333334,9
DumbDumb,57988336.666666664,3
Dundee Entertainment,297048.5,7
Dune Entertainment,3060788218.0228353,345
Dune Entertainment III,750324158.7154762,147
Dune Films,80348698.13333334,52
Dune Vision,97825.0,11
Dunulf Productions,1050193.8,10
Duo Art Productions,1926088.8,6
Duo Films,3703.0,5
Duplass Brothers Productions,6205850.5,20
Dylan Sellers Productions,56221048.38333333,20
Département des Alpes-Maritimes,1610126.6875,16
Département des Pyrénées-Atlantiques,2145.2727272727275,11
E Stars Films,1531668.3333333333,9
E.K.,1000000.0,2
EDI,7126120.333333333,3
EDKO Film,58461195.0,26
EFTI,16822204.25,5
EFVE,26981594.0,30
ELC Productions Ltd.,8408551.166666666,6
EM Media,3901987.3333333335,66
EMC Produktion,1430563.625,26
EMI Films,119134848.83333333,35
EMI Films Ltd.,61707734.416666664,23
EMJAG Productions,81118035.75833333,22
EOS Entertainment,13357590.317460317,50
ERP Productions,7000.0,2
ESPN films,3455720.3333333335,9
ETIC Films,26144145.090476193,36
Eagle Associates,8087801.0,2
Eagle Beach Productions,3646087.5,3
Eagle Vision Inc.,7012118.571428572,14
Ealing Metro International,18785.75,7
Ealing Studios,3688996.261111111,80
Earth Canada Productions,46618771.8,5
Earth Girls,1305434.3333333333,3
Earthship Productions,5680290.333333333,3
East Japan Marketing & Communications Inc.,4405773.7,12
Eastern Productions,5864656.0,9
Eastern Sunrise Films,240978.0,1
Easy Company,1793.1666666666667,6
Easy There Tiger Productions,43180166.333333336,3
Ebeling Group,7327604.7,10
Echo Films,18253524.0,18
Echo Lake Entertainment,999267.2166666666,26
Echo Lake Productions,6463653.75,13
Echo Lake Productions (I),581317.5,2
Eclectic Films,2418318.5,2
Eclectic pictures,206727.0,10
Eclipse Catering,4532592.833333333,10
Ecosse Films,44556971.09166667,57
Ed Friendly Productions,15362118.0,9
Eddie Murphy Productions,512653884.3333333,10
Eden Roc Productions,37474.3,10
Eden Rock Media,27714605.194444444,19
Eden Wurmfeld Films,2002684.8,8
Edgar Rice Burroughs Inc.,22929281.5,6
Edge City,56741072.75,5
Edith Film Oy,32138.95238095238,33
Edition Video,1148278.8421052631,19
Edko Films,447423675.4285714,28
Edmonds Entertainment Group (EEG),5802163.4,7
Edward R. Pressman Film,74763857.15714286,57
Edward Small Productions,21200000.0,29
Ega Medios Audiovisuales,78002.5,4
Egg Films,7490002.5,2
Egg Pictures,41510134.66666667,20
Egmond Film & Television,23027156.9,20
Ego Film Arts,326416.75,31
Egoli Tossell Film,890555.625,30
Egoli Tossell Film AG,4178904.7225490194,56
Ehman Productions,33429677.75,4
Eidos Interactive,61601246.85714285,14
Eigerwand Pictures,8448333.333333334,3
Eketahuna LLC,28548711.75,4
El Corazon Producciones S.A.,21643059.5,4
El Deseo,103038412.80952382,46
El Deseo S.A.,39188637.833333336,17
El Mar Pictures,4262267.0,2
Elara Pictures,3631082.0,3
Electric City Entertainment,59831972.25,22
Electric Dynamite,192829.25,4
Electric Entertainment,5009624.666666667,18
Electric Shepherd Productions,31967344.75,4
Electronic Arts,33879606.0,6
Elektra Productions,7085195.75,8
Element Films,11839879.375,39
Element Pictures,9294217.969887955,92
Elevation Filmworks,1655593.0,8
Elevation Pictures,4436540.416666667,11
Eleventh Street Production,1003731.6666666666,3
Elite Group Entertainment,536046.4285714285,7
Elixir Films,2215382.5,5
Elle Driver,6563088.125,12
Ellepi Films,666666.6666666666,10
Elliott Kastner Productions,5250000.0,17
Elmer Enterprises,23061177.5,2
Elysian Dreams,2730136.0,4
Elzévir Films,472370.0,31
Elías Querejeta Producciones Cinematográficas S.L.,96100.27272727274,40
Embankment Films,3668000.0,5
Embargo Films,2098053.6666666665,8
Embassy Films,3550724.75,8
Embassy International Pictures,3875528.0,7
Embassy Pictures,2393394.5,13
Embassy Pictures Corporation,12233500.0,15
Ember Productions,4855.666666666667,3
Emergence Entertainment,8172.0,2
Emergency Exit Pictures,270.25,4
Emergency Films,11428729.666666666,6
Emmett Furla Oasis Films (EFO Films),3411637.889285714,49
Emmett/Furla Films,212185259.96046177,188
Emmitt Productions Limited,1050193.8,10
Emotion Pictures,232401.5,19
Emperor Motion Pictures,34497744.916666664,62
Empire Films,8197.0,14
Empire Pictures,50395725.92857143,36
Emrah Gamsızoğlu,37380373.75,4
Emu Creek Pictures,1926088.8,7
Enchanted Productions,13694383.5,2
End Cue,33638.0,7
End Productions,27.666666666666668,3
Endemol India,1605880.6666666667,3
Endemol Shine Studios,1551154.888888889,9
Enderby Entertainment,1501.5,7
Endgame Entertainment,103071226.74206349,109
Endorfilm,35032.333333333336,3
Endymion Films,940788.0,13
Enelmar Productions,10424528.666666666,9
Energy Entertainment,26933881.333333332,8
Enigma Productions,25089459.6,39
Enjoy Movies,31272581.0,19
Enlight Pictures,550664199.0,24
Entcorp Communications,3077361.0,1
Entertainment,1.25,4
Entertainment Events,681630.6666666666,5
Entertainment Film Distributors,493291.85714285716,10
Entertainment Films,11000000.0,3
Entertainment Manufacturing Company,4021315.8333333335,6
Entertainment Media Investment Corporation,18800000.0,5
Entertainment Motion Pictures,492.2307692307692,48
Entertainment One,14983128.5,37
Entre Chien et Loup,7638287.499999999,168
Envision Entertainment,27187057.36309524,40
Envision Entertainment Corporation,49150820.002525255,33
Eon Productions,3196436563.3333335,47
Epic Match Media,6445.25,4
Epic Productions,14987381.25,23
Epidemic Pictures,5802163.4,8
Epithète Films,7224314.222222222,36
Epoch Film Co.,11000000.0,1
Epoch Films,82944.0,7
Epsilon Motion Pictures,454265031.12896824,252
Equity Pictures Medienfonds GmbH & Co. KG II,11134960.714285715,10
Equity Pictures Medienfonds GmbH & Co. KG III,18653109.597222224,37
Equity Pictures Medienfonds GmbH & Co. KG IV,22648858.0,15
Eracme Entertainment,1884109.2,5
Eran Riklis Productions Ltd.,426168.0,10
Erfttal Film,140555.625,27
Eric's Boy,237362458.86666667,10
Eros Entertainment,2950000.0,5
Eros International,100386666.66666667,57
Erre Produzioni,311095.25,20
Erste MMC-Production,520345.94444444444,18
Escape Artists,413817263.4,59
Escapology,366327.5,2
Escima,86154.66666666667,3
Eskwad,17247819.365079366,71
Esparza / Katz Productions,42500000.0,12
Esperanto Filmoj,266650064.0,9
Essaness Pictures,33333.333333333336,5
Esse Ci Cinematografica,1000000.0,3
